gen,ply,max_pieces,best,mean,median,worst,sd,pieces,lines,tetrises,b2b,double_tetris,max_combo,i_hold_turns,tet_per_100
1,2,400000,3388000.0000000005,312287.5,0.0,0.0,843425.3791891828,2000,794,165,125,0,3,50,8.25
2,2,400000,3405299.9999999995,576220.8333333334,0.0,0.0,1251680.4287900215,2000,796,167,123,1,3,54,8.35
3,2,400000,3434899.9999999995,986029.1666666666,1300.0,0.0,1514703.9753362061,2000,796,176,147,0,2,33,8.8
4,2,400000,3475600.0,604375.0,158600.0,0.0,1167928.5409968367,2000,796,170,129,0,2,64,8.5
5,2,400000,3549499.9999999995,760454.1666666666,166800.0,17600.0,1271888.8063883462,2000,795,177,148,0,3,59,8.85
6,2,400000,3541200.0,1298941.6666666667,251750.0,0.0,1397788.5581388513,2000,799,177,153,0,1,33,8.85
7,2,400000,3556700.0,549775.0,165850.0,29700.0,1090399.2599234772,2000,793,177,150,0,1,31,8.85
8,2,400000,3547800.0,430445.8333333333,169300.0,0.0,941039.87959206,2000,793,177,150,0,1,31,8.85
9,2,400000,3573700.0,909970.8333333334,173450.0,148300.0,1362674.0981978432,2000,794,179,150,1,2,47,8.95
10,2,400000,3575600.0,988391.6666666666,174100.0,77200.0,1413794.9921861214,2000,797,175,147,1,4,31,8.75
11,2,400000,3579900.0,377908.3333333333,50.0,0.0,985794.9253929821,2000,796,178,145,0,1,48,8.9
12,2,400000,3562800.0,563962.5,155200.0,0.0,1110704.4644475642,2000,797,175,147,1,4,31,8.75
13,2,400000,3567700.0,1050029.1666666667,168700.0,11400.0,1466180.9820298352,2000,797,175,147,1,4,31,8.75
14,2,400000,3550900.0,294420.8333333333,173700.0,0.0,682174.8144593429,2000,797,175,147,1,4,31,8.75
15,2,400000,2945500.0,465395.8333333333,1950.0,0.0,907089.3301650644,2000,797,154,112,0,2,40,7.7
