gen,ply,max_pieces,best,mean,median,worst,sd,pieces,lines,tetrises,b2b,double_tetris,max_combo,i_hold_turns,tet_per_100
1,2,100000,8000.0,383.3333333333333,0.0,0.0,1603.2952178421654,2000,799,2,0,0,3,190,0.1
2,2,100000,5900.0,320.8333333333333,0.0,0.0,1180.3880600134103,2000,799,2,0,0,3,190,0.1
3,2,100000,8400.0,745.8333333333334,0.0,0.0,2197.7221477905005,2000,799,0,0,0,3,214,0.0
4,2,100000,144200.0,6708.333333333333,200.0,0.0,28706.47308922192,2000,799,19,1,0,4,24,0.95
5,2,100000,299800.0,21283.333333333332,1700.0,0.0,60747.116986917354,2000,795,66,10,0,3,41,3.3
6,2,100000,316300.0,44912.5,6550.0,0.0,98298.32277519625,2000,791,70,10,0,3,268,3.5
7,2,100000,527100.0,66200.0,18250.0,0.0,119325.81796632837,2000,792,132,54,0,5,210,6.6
8,2,100000,667100.0,44112.5,7050.0,0.0,131623.976135619,2000,792,132,54,0,5,210,6.6
9,2,100000,564400.0,122941.66666666667,39750.0,0.0,167807.60043540606,2000,792,132,54,0,5,210,6.6
10,2,100000,510200.00000000006,134333.33333333334,72550.0,0.0,144874.11106044985,2000,797,104,27,0,3,21,5.2
11,2,100000,733400.0,149075.0,65650.0,0.0,214375.87366197095,2000,794,160,105,0,2,18,8.0
12,2,100000,808000.0,140683.33333333334,96600.0,200.0,199992.5741676981,2000,791,165,112,0,2,72,8.25
13,2,100000,833600.0,186495.83333333334,125700.0,800.0,243029.53949257324,2000,794,154,98,0,3,52,7.7
14,2,100000,828900.0,162033.33333333334,142200.0,9700.0,142327.57014093306,2000,794,154,98,0,3,52,7.7
15,2,100000,860000.0,214650.0,150350.0,0.0,240570.20631546763,2000,797,171,122,0,2,20,8.55
16,2,100000,857600.0,159558.33333333334,150900.0,2200.0,152268.70141481984,2000,797,171,122,0,2,20,8.55
17,2,100000,858900.0,226683.33333333334,160850.0,0.0,242591.29323938143,2000,794,170,122,1,2,21,8.5
18,2,100000,859099.9999999999,245404.16666666666,164550.0,34200.0,232556.59074579147,2000,792,163,109,0,3,31,8.15
19,2,100000,878500.0,210512.5,168150.0,0.0,201898.60349628472,2000,795,171,125,0,2,29,8.55
20,2,100000,897200.0,251016.66666666666,169400.0,114400.0,240782.77670040182,2000,797,182,151,0,3,19,9.1
21,2,100000,887100.0,188295.83333333334,169550.0,22500.0,148974.16297008985,2000,797,182,151,0,3,19,9.1
22,2,100000,893399.9999999999,195883.33333333334,170600.0,137000.0,145827.93418576868,2000,797,182,151,0,3,19,9.1
23,2,100000,894400.0000000001,186983.33333333334,172950.0,0.0,155032.50913562902,2000,797,182,151,0,3,19,9.1
24,2,100000,895900.0,182083.33333333334,171450.0,1000.0,155632.83358240602,2000,797,182,151,0,3,19,9.1
25,2,100000,897100.0,226575.0,173800.0,109400.0,201585.06734130878,2000,797,182,151,0,3,19,9.1
