gen,ply,max_pieces,best,mean,median,worst,sd,pieces,lines,tetrises,b2b,double_tetris,max_combo,i_hold_turns,tet_per_100
1,2,400000,3703199.9999999995,2800675.0,3589100.0,108199.99999999999,1240025.099292349,2000,796,186,163,3,2,115,9.3
2,2,400000,3693900.0,2236400.0,2489500.0,152900.0,1453306.184188315,2000,797,188,169,2,2,101,9.4
3,2,400000,3727100.0,1830612.5,1500350.0,159200.0,1682616.4576616236,2000,798,168,132,3,2,102,8.4
4,2,400000,3750500.0000000005,2445225.0,3000500.0,0.0,1311811.0932504726,2000,793,184,159,1,1,98,9.2
5,2,400000,3745500.0,1495587.5,185200.0,65000.0,1734275.7345917488,2000,793,184,159,1,1,98,9.2
6,2,400000,3744700.0000000005,2520537.5,2914100.0,579400.0,1261416.5251191813,2000,797,186,171,2,1,84,9.3
7,2,400000,3756500.0,492737.5,0.0,0.0,1235078.107790657,2000,797,186,171,2,1,84,9.3
8,2,400000,3754500.0,777912.5,50.0,0.0,1346602.0797153665,2000,797,186,171,2,1,84,9.3
9,2,400000,3749199.9999999995,1830212.5,2005550.0,61100.0,1453129.3416601804,2000,797,186,171,2,1,84,9.3
10,2,400000,3758900.0,1073075.0,187850.0,134000.0,1550755.523728676,2000,797,186,171,2,1,84,9.3
