gen,ply,max_pieces,best,mean,median,worst,sd,pieces,lines,tetrises,b2b,double_tetris,max_combo,i_hold_turns,tet_per_100
1,2,100000,6000.0,304.1666666666667,0.0,0.0,1215.6888193758941,2000,798,1,0,0,3,184,0.05
2,2,100000,7299.999999999999,333.3333333333333,0.0,0.0,1456.2127439201854,2000,798,1,0,0,3,184,0.05
3,2,100000,6000.0,408.3333333333333,0.0,0.0,1210.6873621579145,2000,798,1,0,0,3,184,0.05
4,2,100000,28199.999999999996,2320.8333333333335,150.0,0.0,5878.490393422069,2000,799,4,0,0,4,150,0.2
5,2,100000,212300.00000000003,13766.666666666666,1300.0,0.0,43336.75947994062,2000,799,43,5,0,3,13,2.15
6,2,100000,59300.0,12987.5,5000.0,0.0,17201.073428229218,2000,799,11,0,0,3,134,0.55
7,2,100000,109800.0,17754.166666666668,3950.0,0.0,31989.2687626995,2000,797,21,1,0,3,62,1.05
8,2,100000,220800.00000000003,32041.666666666668,6150.0,0.0,59210.50664554579,2000,799,47,9,0,4,21,2.35
9,2,100000,244300.0,51425.0,22450.0,0.0,70351.61837749956,2000,799,52,13,0,2,75,2.6
10,2,100000,309600.0,59508.333333333336,25350.0,2100.0,84142.78993010762,2000,799,69,27,0,3,51,3.45
11,2,100000,300000.0,99379.16666666667,43850.0,0.0,100580.12966107615,2000,797,50,14,0,4,41,2.5
12,2,100000,314000.0,62379.166666666664,43900.0,2200.0,87911.07239310391,2000,798,59,18,0,3,45,2.95
13,2,100000,313100.0,89395.83333333333,48400.0,1100.0,98647.48045087393,2000,799,60,22,0,3,53,3.0
14,2,100000,445300.00000000006,140070.83333333334,54950.0,1600.0,142921.7340573932,2000,796,97,55,0,2,59,4.85
15,2,100000,451999.99999999994,162762.5,79900.0,0.0,148041.02419177597,2000,799,92,42,0,3,49,4.6
16,2,100000,484700.0,161962.5,111900.0,200.0,147531.0668201221,2000,797,132,87,1,2,90,6.6
17,2,100000,574100.0,158891.66666666666,62850.0,0.0,175018.52977296113,2000,798,128,79,1,2,94,6.4
18,2,100000,557200.0,209300.0,107700.0,500.0,180202.7885466815,2000,797,115,65,0,2,76,5.75
19,2,100000,560300.0,88645.83333333333,75250.0,0.0,106604.37365623837,2000,797,115,65,0,2,76,5.75
20,2,100000,598900.0,151645.83333333334,84650.0,8099.999999999999,176088.59980884305,2000,799,119,69,1,2,70,5.95
21,2,100000,606800.0,235462.5,117000.0,15600.000000000002,205303.9064665275,2000,796,129,78,0,2,67,6.45
22,2,100000,627500.0,276983.3333333333,166000.0,10200.0,218301.79161477863,2000,795,133,85,0,2,75,6.65
23,2,100000,597600.0,66679.16666666667,0.0,0.0,143331.07647205782,2000,796,115,71,0,3,52,5.75
24,2,100000,739700.0,152666.66666666666,65150.0,0.0,216430.43660467188,2000,796,138,84,0,3,58,6.9
25,2,100000,805700.0,264045.8333333333,129350.0,300.0,245193.97419724427,2000,796,165,131,0,1,117,8.25
