gen,ply,max_pieces,best,mean,median,worst,sd,pieces,lines,tetrises,b2b,double_tetris,max_combo,i_hold_turns,tet_per_100
1,2,100000,747700.0,259362.5,123450.0,200.0,264310.26246392704,2000,796,143,92,0,3,88,7.15
2,2,100000,796800.0,170175.0,128150.0,0.0,192802.97207685016,2000,799,160,126,3,2,93,8.0
3,2,100000,819699.9999999999,166150.0,104500.0,0.0,204695.1004950208,2000,797,161,111,0,3,79,8.05
4,2,100000,860200.0,289933.3333333333,142700.0,900.0,304382.78897175216,2000,796,166,126,3,2,100,8.3
5,2,100000,853200.0,162150.0,118750.0,7999.999999999999,212273.55778177676,2000,795,162,123,3,2,102,8.1
6,2,100000,850300.0,160308.33333333334,120000.0,0.0,176248.70192587393,2000,795,162,123,3,2,102,8.1
7,2,100000,894100.0000000001,338800.0,152600.0,800.0,328319.2602736956,2000,797,178,144,1,1,87,8.9
8,2,100000,910800.0,198437.5,146300.0,0.0,274280.72269802337,2000,799,192,172,1,1,102,9.6
9,2,100000,911500.0,145854.16666666666,136950.0,100.0,169098.68908216158,2000,799,192,172,1,1,102,9.6
10,2,100000,910399.9999999999,205391.66666666666,128900.0,900.0,279870.20342274534,2000,792,176,145,2,2,153,8.8
11,2,100000,907799.9999999999,165083.33333333334,133850.0,899.9999999999999,232730.33691855092,2000,792,176,145,2,2,153,8.8
12,2,100000,907300.0,178812.5,14600.0,0.0,321135.4482048813,2000,795,182,154,6,1,130,9.1
13,2,100000,914200.0,252162.5,98650.0,0.0,342402.1062197924,2000,795,182,154,6,1,130,9.1
14,2,100000,926600.0,215383.33333333334,180650.0,5900.0,220829.55845830258,2000,791,185,166,2,1,117,9.25
15,2,100000,931500.0,200995.83333333334,181600.0,28400.000000000004,157307.0047157433,2000,791,185,166,2,1,117,9.25
