gen,ply,max_pieces,best,mean,median,worst,sd,pieces,lines,tetrises,b2b,double_tetris,max_combo,i_hold_turns,tet_per_100
1,2,100000,8000.0,383.3333333333333,0.0,0.0,1603.2952178421654,2000,799,2,0,0,3,190,0.1
2,2,100000,17100.0,1041.6666666666667,0.0,0.0,3558.079616247444,2000,799,6,0,0,4,178,0.3
3,2,100000,111100.0,6591.666666666667,50.0,0.0,22233.25056206482,2000,799,19,3,0,3,57,0.95
4,2,100000,157200.0,36000.0,15000.0,0.0,46216.843971291106,2000,799,24,5,0,4,66,1.2
5,2,100000,153900.0,14229.166666666666,8000.0,0.0,30177.371201595557,2000,799,24,5,0,4,66,1.2
6,2,100000,175300.0,32870.833333333336,14800.0,0.0,48589.389095139784,2000,798,56,14,0,4,27,2.8
7,2,100000,256100.0,60845.833333333336,27350.0,900.0,68770.05755394002,2000,797,45,8,0,5,37,2.25
8,2,100000,314100.0,86216.66666666667,29300.0,0.0,106777.56344642612,2000,796,74,25,0,3,41,3.7
9,2,100000,334300.0,69337.5,37550.0,7500.0,85481.87825742172,2000,797,74,25,0,4,54,3.7
10,2,100000,680200.0,131787.5,59100.0,2400.0,177678.3524436315,2000,795,123,77,0,3,33,6.15
11,2,100000,675900.0,98691.66666666667,71350.0,13600.0,123624.09054827821,2000,795,123,77,0,3,33,6.15
12,2,100000,674600.0,122412.5,79700.0,1700.0,162509.26463974293,2000,795,123,77,0,3,33,6.15
13,2,100000,717100.0,156750.0,105150.0,2400.0,185870.47013085932,2000,793,137,83,0,2,40,6.85
14,2,100000,722700.0,132666.66666666666,119650.0,6300.0,128418.37766543472,2000,793,137,83,0,2,40,6.85
15,2,100000,731800.0,131487.5,121050.0,900.0000000000001,132150.6946396802,2000,793,137,83,0,2,40,6.85
16,2,100000,759400.0,215900.0,136350.0,3700.0,238594.5043373799,2000,796,165,123,0,3,57,8.25
17,2,100000,772600.0,207975.0,141900.0,11600.0,213457.90617434,2000,799,158,116,1,3,51,7.9
18,2,100000,793000.0,245462.5,148350.0,36600.0,239805.65536231626,2000,795,152,99,2,2,60,7.6
19,2,100000,798000.0,279675.0,153850.0,67500.0,263303.0007583152,2000,792,160,114,0,2,32,8.0
20,2,100000,802800.0,204466.66666666666,155250.0,80100.0,179521.30483284956,2000,795,156,102,0,3,34,7.8
21,2,100000,798400.0,376733.3333333333,158050.0,10000.0,320672.08415382146,2000,797,149,97,0,4,54,7.45
22,2,100000,814600.0000000001,252175.0,155800.0,22300.0,250518.788799696,2000,792,157,112,0,2,59,7.85
23,2,100000,816799.9999999999,149625.0,6750.0,0.0,265548.4438697893,2000,798,161,101,0,3,62,8.05
24,2,100000,844200.0,228262.5,152450.0,0.0,273775.54494588566,2000,796,167,123,1,3,54,8.35
25,2,100000,857900.0000000001,172295.83333333334,159150.0,1800.0,152799.88405091225,2000,796,167,123,1,3,54,8.35
